"Species,""Regularization"",""Features"",""nParameters"",""AICc"",""Training.AUC"",""Test.AUC"",""bio13.contribution"",""bio14.contribution"",""bio5.contribution"",""bio6.contribution"",""bio7.contribution"",""topology.contribution"""
"Plebejus_afshar,1.4,""autofeature=true"",4,192.679975561309,0.86915,0.85935,0.1538,7.2082,22.3914,5.5507,5.3393,59.3566"
"Plebejus_alcedo,0.7,"" -p -h"",8,1579.27909612938,0.7802,0.7588,14.4054,14.4204,39.3437,23.56,2.335,5.9356"
"Plebejus_christophi,1.4,"" threshold=false -q"",23,1190.22497593258,0.76605,0.7268,9.1955,18.7149,11.5478,26.0898,25.5611,8.8909"
"Plebejus_idas,0.5,"" -h -q"",4,397.145276455509,0.7762,0.7174,37.9431,7.927,24.0675,5.1048,2.7406,22.2171"
"Plebejus_loewii,0.5,"" threshold=false -h"",16,3578.53394436802,0.7373,0.7043,20.9408,16.5505,19.48,15.0676,14.377,13.584"
"Plebejus_morgiana,0.8,"" threshold=false -h -q"",12.5,1948.91692469384,0.79425,0.7614,21.1758,12.0419,19.8251,16.602,8.8073,21.5479"
"Plebejus_sieversii,1,"" -h -q"",5,526.809174917173,0.78865,0.7532,35.0021,10.7602,0.0749,19.1976,30.6681,4.2971"
"Plebejus_vaneki,1.3,"" -h"",3.5,182.391881528874,0.89725,0.85125,0.4117,2.431,55.8839,0,12.3234,28.9499"
"Polyommatus_actis,0.8,"" threshold=false -p -h"",7,1066.3482233812,0.82005,0.7981,3.0312,15.0736,74.0078,0.0603,5.8023,2.0248"
"Polyommatus_aedon,1.3,"" -h"",5,391.846354351602,0.8706,0.8514,19.33,11.1218,2.2798,49.3559,10.0775,7.8348"
"Polyommatus_ahmadi,1.3,"" -h"",5,434.026440181043,0.77505,0.748,2.99,24.9717,26.7768,0.0068,16.0147,29.24"
"Polyommatus_alcestis,0.5,"" -h"",8,994.321634307933,0.76165,0.7346,53.0518,15.7563,0.5464,21.2319,3.3716,6.042"
"Polyommatus_amandus,0.8,"" -h"",7,764.077575113639,0.8598,0.82415,10.3535,21.9941,42.6706,0.0207,22.8599,2.1012"
"Polyommatus_antidolus,1,"" -q"",3,221.511727802474,0.7255,0.7289,41.1607,10.6449,13.9803,0,23.4471,10.767"
"Polyommatus_ardschira,1.1,"" -h"",4.5,310.157172009467,0.8447,0.82065,74.1024,6.0894,3.6464,13.3754,1.3569,1.4295"
"Polyommatus_aserbeidschana,0.5,"" -h -q"",4,242.384192620321,0.73985,0.71135,30.993,29.3562,2.5983,3.0254,0.0896,33.9375"
"Polyommatus_baltazardi,1.3,""autofeature=true"",4,206.399050512745,0.84145,0.7712,10.0708,14.2947,45.4596,10.8881,5.3154,13.9714"
"Polyommatus_barmifiruze,0.6,"" -q"",4,199.847636336794,0.9146,0.82645,84.4358,1.9039,7.2371,2.7599,1.4384,2.2249"
"Polyommatus_birunii,0.5,"" -h"",7.5,711.883207068405,0.8303,0.8121,17.6586,42.611,21.7347,10.8854,2.3392,4.771"
"Polyommatus_caerulea,0.5,"" -h"",7,303.710538246512,0.96535,0.97375,3.2005,21.195,35.2601,0.113,35.9429,4.2885"
"Polyommatus_cyanea,1.3,"" threshold=false -p"",26,1233.3449408892,0.7399,0.7061,31.7249,22.9313,22.9132,3.7489,4.974,13.7077"
"Polyommatus_damonides,1.5,"" -p -q"",20,971.767291592724,0.8933,0.89115,26.6134,35.2907,12.0373,4.9914,17.1838,3.8834"
"Polyommatus_daphnis,1.5,"" -p"",26,2164.66375397669,0.8262,0.7864,5.819,51.13,6.7149,28.2506,1.8955,6.1901"
"Polyommatus_darius,0.9,"" -h"",5,413.592398601753,0.77985,0.72695,4.8729,57.4987,15.2118,11.9236,6.936,3.557"
"Polyommatus_demavendi,0.5,"" -h"",5.5,284.954775545565,0.7444,0.70625,16.3116,48.0221,6.5733,11.8254,9.7633,7.5043"
"Polyommatus_dizinensis,0.7,"" -q"",20,278.360671912644,0.87255,0.7728,22.2008,24.3686,5.9365,10.0512,28.9976,8.4454"
"Polyommatus_eckweileri,0.6,""autofeature=true"",3,125.930849214433,0.93195,0.82085,0.5053,47.2461,24.3496,2.7876,9.7035,15.4078"
"Polyommatus_ectabanensis,1,"" -h -q"",3.5,290.856831078599,0.78815,0.7216,17.976,25.992,33.334,6.7513,12.0619,3.8847"
"Polyommatus_eriwanensis,1.3,""autofeature=true"",3,166.27677185871,0.8185,0.79885,20.7072,16.351,0,25.2707,32.7948,4.8765"
"Polyommatus_erotulus,1.1,"" -h"",3,204.911374084869,0.78735,0.83705,0.6503,0.0704,63.4196,34.3395,1.3555,0.1648"
"Polyommatus_erschoffii,0.7,"" -h"",7,603.676314683865,0.87025,0.82865,6.79,49.081,30.077,1.2235,5.673,7.1556"
"Polyommatus_esfahensis,1.2,"" -h -q"",2.5,256.799563685986,0.6982,0.74535,13.547,0.164,29.5633,0,56.6683,0.0575"
