"Species,""Regularization"",""Features"",""nParameters"",""AICc"",""Training.AUC"",""Test.AUC"",""bio13.contribution"",""bio14.contribution"",""bio5.contribution"",""bio6.contribution"",""bio7.contribution"",""topology.contribution"""
"Pasiphila_hyrcanica,0.6,""autofeature=true"",2,94.3076615633135,0.85395,0.74995,45.5661,1.4552,0.0968,39.551,10.3313,2.9996"
"Pasiphila_palaearctica,1.1,""autofeature=true"",2,146.278348594962,0.72055,0.84015,0,4.7419,2.9237,53.2618,19.0637,10.009"
"Peribatodes_rhomboidaria,0.7,"" -h -q"",4,265.841975245301,0.87175,0.912,2.4999,16.7149,1.747,3.2407,69.5136,6.284"
"Peribatodes_umbraria,0.8,"" -h"",6,315.335595406136,0.8785,0.8484,13.3962,25.8743,2.08,1.3648,55.5704,1.7144"
"Phaiogramma_etruscaria,1.3,""autofeature=true"",20,896.04512461,0.8619,0.8157,12.0919,40.0657,16.7632,9.4532,11.5602,10.0659"
"Phaselia_pithana,1.3,""autofeature=true"",2,187.585893579288,0.7144,0.7907,16.7866,26.4404,24.8347,9.9713,14.7879,7.1791"
"Philereme_transversata,0.5,"" -h"",6,251.031012878583,0.809,0.8154,7.6993,19.5019,0.9417,5.4997,58.0765,8.281"
"Pingasa_lahayei,0.7,"" -h"",8,950.688068018645,0.83505,0.81375,10.1889,2.771,0.038,73.136,8.4799,5.3861"
"Problepsis_wiltshirei,0.6,"" -h -q"",4.5,267.294017754271,0.9133,0.9062,70.806,0.5597,3.7475,0.0256,4.726,20.1351"
"Protorhoe_centralisata,1.5,"" -h"",6,476.62486729861,0.79745,0.80775,14.8775,5.1216,5.5819,44.9574,5.7641,23.6974"
"Protorhoe_tangaba,1,""autofeature=true"",3.5,141.837349713071,0.72025,0.7438,2.5261,36.6566,0,4.9239,33.8467,22.0467"
"Rhagades_brandti,0.8,"" -h"",5,412.337118878749,0.8141,0.8055,5.0714,36.6854,3.1064,0.4691,49.7677,4.9"
"Rhodometra_sacraria,1,"" -h"",6,504.448779217808,0.7479,0.73075,4.684,8.7693,0.073,76.3543,8.3174,1.8019"
"Rhodostrophia_abscisaria,1,""autofeature=true"",3.5,210.23852901697,0.8262,0.89665,40.3223,12.9555,33.122,1.7535,2.7936,9.053"
"Rhodostrophia_auctata,0.5,"" -h"",8,588.983049766095,0.8894,0.83455,15.8986,21.7987,1.754,48.0866,2.2116,10.2505"
"Rhodostrophia_bahara,1.5,"" -h -q"",2,234.794866674816,0.82155,0.7265,0.2175,1.9808,17.4597,0,79.9022,0.4398"
"Rhodostrophia_cuprinaria,1.3,"" -h"",5.5,376.645643438583,0.81025,0.73915,1.0875,38.404,21.6338,0,35.6413,3.2334"
"Rhodostrophia_iranica,1.1,""autofeature=true"",4,178.538545593705,0.88665,0.86675,21.8603,13.1788,3.287,42.1235,9.2713,10.2792"
"Rhodostrophia_nesam,1,"" -h -q"",5,663.759622217716,0.79835,0.71325,9.1251,9.4057,14.6709,0,47.4773,19.321"
"Rhodostrophia_peripheres,1.5,"" -h -q"",4,469.238043310392,0.8247,0.7625,85.777,2.7814,0.2435,0.3413,2.5603,8.2965"
"Rhodostrophia_phaenicearia,1,""autofeature=true"",20,725.155147473826,0.75065,0.70165,9.0298,35.2664,5.9375,26.4686,16.9163,6.3814"
"Rhodostrophia_sieversi,1.1,""autofeature=true"",4,227.533089206024,0.72365,0.7304,4.3815,5.9575,0.2069,28.7648,46.4987,14.1906"
"Rhodostrophia_tabestana,1.4,"" -h -q"",3,355.43989489789,0.79975,0.74665,28.0484,9.1519,33.2353,0,5.9772,23.5872"
"Rhodostrophia_terrestraria,1.4,"" -h"",7,702.425409927416,0.89545,0.8938,3.9892,20.1803,67.7124,0,7.6918,0.4263"
"Rhodostrophia_tumulosa,0.8,"" -h"",6,564.72458420712,0.84895,0.82135,50.1726,3.0189,28.4459,8.7556,1.6617,7.9453"
"Sabzia_graminaria,1.3,"" -h"",5,333.81060249942,0.8745,0.84065,13.2283,26.0108,19.9964,2.1236,0.3317,38.3092"
"Scopula_ansulata,0.9,""autofeature=true"",3,158.73222542012,0.846,0.83615,0.7184,14.7163,40.9581,18.2183,25.3851,0.0038"
"Scopula_beckeraria,1.2,"" -p"",28.5,1904.98427741808,0.8287,0.773,23.6204,31.7094,4.7771,3.3092,4.1927,32.3912"
"Scopula_chalcographata,1.4,"" -h -q"",4.5,515.384710387451,0.7481,0.72115,11.067,6.1273,12.5625,39.4909,25.148,5.6042"
"Scopula_decorata,0.6,"" -h"",7,493.730491037377,0.8432,0.72385,29.104,21.7503,26.9023,0.409,10.1364,11.698"
"Scopula_diffinaria,0.9,"" -h"",5.5,416.096799224821,0.77745,0.7635,5.4755,36.9507,15.5594,0.8698,2.6627,38.4818"
"Scopula_flaccidaria,0.9,""autofeature=true"",3,130.930423964599,0.9348,0.92125,6.1835,0.3152,0.1155,34.3396,58.2935,0.7527"
"Scopula_gracilis,1.2,"" -h"",4,279.175834782915,0.74785,0.7192,2.7226,5.3295,9.2443,7.0983,67.8204,7.7849"
"Scopula_immistaria,0.9,"" -h"",8,759.693235951469,0.87845,0.8511,42.6195,16.9287,7.5094,23.0604,1.3304,8.5516"
"Scopula_marginepunctata,1.5,"" threshold=false -p"",21.5,1496.02100266433,0.82745,0.7775,9.467,44.1997,15.1864,1.6089,3.3941,26.1439"
"Scopula_ornata,0.5,"" -h"",7,351.654417059239,0.86415,0.7439,26.5658,22.1482,0.7891,9.3125,38.1146,3.0698"
"Scopula_sacraria,0.9,"" -h"",7,845.967883698035,0.73915,0.70185,66.5913,21.0867,0.2394,4.6079,2.1171,5.3577"
"Scopula_transcaspica,1.5,"" -q"",22.5,1408.53485979372,0.78405,0.72745,7.2465,24.7436,8.1067,1.8949,10.7029,47.3053"
"Scopula_turbulentaria,1.2,"" -h"",6,425.180810538827,0.7735,0.75825,3.7087,21.0733,0,29.6242,38.9847,6.609"
"Scotopteryx_fuscofasciata,1.2,"" -h"",6,544.093829219323,0.858,0.84855,12.4712,21.4078,16.024,2.0535,8.284,39.7595"
"Scotopteryx_sterilis,1.4,"" -h"",3.5,284.454434140687,0.7882,0.77225,5.4793,5.8555,0,79.9012,7.2013,1.5626"
"Scotopteryx_vicinaria,1.2,"" -h -q"",3,379.077237475717,0.7377,0.737,12.8349,27.1853,25.419,32.796,0,1.7648"
"Selenia_forsteri,1.4,""autofeature=true"",3,121.486536189527,0.88135,0.733,2.1025,6.2953,10.0444,28.3412,37.5054,15.7112"
"Stamnodes_depeculata,1.2,""autofeature=true"",3,210.483023468462,0.94895,0.93015,29.0658,0.7423,15.537,37.8241,0.0532,16.7777"
"Synopsia_phasidaria,0.7,"" -h"",7.5,569.815990469404,0.89005,0.84305,34.4846,17.7616,18.6819,20.9011,3.1776,4.9933"
"Thalera_fimbrialis,0.6,"" -h"",7,678.014594169714,0.8655,0.87245,30.2711,10.5848,15.0533,12.581,1.277,30.2328"
"Thetidia_crucigerata,1.1,"" -h"",6,412.323880569154,0.7015,0.71935,34.2167,33.5833,0.6771,6.0291,11.3958,14.0979"
"Thetidia_fulminaria,0.5,"" -h"",6.5,392.437278764919,0.8282,0.83795,14.6502,18.3301,22.0259,0.4953,21.522,22.9765"
"Thetidia_persica,1.3,"" -h"",5,844.822195045653,0.7888,0.73155,9.1036,14.6826,22.4814,24.6348,0.1924,28.9051"
"Triphosa_silviae,1.4,"" -h"",4,275.924078182087,0.86805,0.9015,45.338,18.2466,2.6215,0.0554,23.199,10.5395"
"Triphosa_taochata,1.4,""autofeature=true"",2,144.935415805071,0.8889,0.9368,0.8239,0.1576,36.9679,0,42.2319,19.8187"
"Xanthorhoe_designata,1.5,"" -h -q"",3,290.879502487807,0.72095,0.7717,0,18.4862,0,27.387,28.9964,25.1304"
"Xanthorhoe_fluctuata,1.3,""autofeature=true"",3,186.873478898329,0.7661,0.7363,5.6539,16.3205,7.6201,25.8407,7.7974,36.7674"
"Xanthorhoe_rhodoides,0.9,""autofeature=true"",2,130.380636298863,0.79485,0.92575,1.1951,10.9975,20.9622,23.9008,31.6024,11.3419"
"Xanthorhoe_wiltshirei,1,"" -h"",5.5,336.265726995579,0.83035,0.81815,4.5665,11.6251,0.0483,20.3204,60.4176,3.0221"
"Zygaena_cambysea,0.7,"" -h"",6,764.630831024732,0.80685,0.7569,24.9795,4.9008,29.7882,34.9282,0.2714,5.1319"
"Zygaena_carniolica,1.1,""autofeature=true"",3,222.816685343053,0.76385,0.7398,32.5885,25.3414,0,14.2436,12.8078,15.0187"
"Zygaena_chirazica,0.5,"" -h"",7,475.514258969946,0.8835,0.8776,17.108,5.0316,36.1919,0,18.4192,23.2494"
"Zygaena_dorycnii,0.6,"" -h"",7,618.797033210968,0.8034,0.78275,7.4197,13.389,0.316,11.4617,56.481,10.9326"
"Zygaena_ecki,0.8,""autofeature=true"",2.5,149.418912824579,0.7325,0.70255,6.2154,13.0834,26.426,3.6031,8.0053,42.6668"
"Zygaena_escalerai,1.2,""autofeature=true"",1.5,219.476171430224,0.7221,0.72295,10.4398,11.7833,26.4752,15.343,1.6664,14.2924"
"Zygaena_fredi,0.5,"" -h -q"",5,611.004974557923,0.8488,0.87425,40.1376,16.4024,5.9841,16.4877,2.2869,18.7013"
"Zygaena_haberhaueri,1,"" -q"",2,219.814144999506,0.7557,0.7003,0.5071,20.5969,13.3561,63.2079,0,2.3321"
"Zygaena_haematina,0.9,"" -h"",4.5,307.136794343945,0.87305,0.8207,4.728,9.1458,11.8852,0.6856,4.8802,68.6753"
"Zygaena_kermanensis,1.4,""autofeature=true"",12.5,658.151921620846,0.8437,0.83305,25.707,10.6869,17.3825,30.3806,5.2868,10.5562"
"Zygaena_loti,1,"" -h"",4,316.868537773136,0.79935,0.725,1.8408,36.0222,18.3066,0,23.3451,20.4852"
"Zygaena_manlia,1,""autofeature=true"",5,190.905126017004,0.8626,0.781,0.8746,54.674,12.1768,1.3557,27.1732,3.7457"
"Zygaena_nocturna,0.9,"" -h -q"",4,291.69540817622,0.7783,0.7127,18.9614,9.4789,36.8694,0,18.994,15.6963"
"Zygaena_pseudorubricundus,0.6,"" -h"",6,289.651987366252,0.85075,0.7855,58.8218,32.2788,0.1093,0.17,3.3349,5.2851"
"Zygaena_rosinae,1.5,"" -h -q"",3,445.130218785693,0.8049,0.72605,1.0182,2.8987,66.1102,2.3973,13.5762,13.9993"
"Zygaena_seitzi,1.1,"" -h"",5.5,372.084795479906,0.72955,0.75015,7.2867,26.0104,51.8723,0,12.3487,2.4818"
"Zygaena_speciosa,1.4,""autofeature=true"",4.5,178.983486927258,0.9622,0.94865,18.7225,8.9343,47.5912,21.9325,0,2.8196"
"Zygaena_tamara,0.6,"" -h"",7,329.421379746226,0.8841,0.8027,33.9921,15.1774,4.557,32.5723,0.8998,12.8014"
"Zygaena_turkmenica,1.3,"" -h"",7,746.361024755516,0.758,0.7277,11.0734,49.7097,13.9647,6.8761,5.0248,13.3513"
"Zygaenoprocris_duskei,1.5,"" -h"",5.5,638.808860593272,0.68345,0.7186,19.5125,8.9031,8.9559,1.052,46.0967,15.4798"
"Zygaenoprocris_hasarani,1.3,""autofeature=true"",4.5,206.34020116136,0.8826,0.84895,10.6404,19.8661,22.0191,0,2.8625,44.6119"
"Zygaenoprocris_kliri,0.9,""autofeature=true"",3,239.278403444475,0.7476,0.72305,0.569,19.3739,9.2481,51.5438,8.7923,10.473"
"Zygaenoprocris_puschmanni,1.3,""autofeature=true"",4,210.021398539755,0.86385,0.90715,33.2074,3.024,35.7078,21.2702,0,6.7905"
"Zygaenoprocris_schahdadiani,1.3,""autofeature=true"",3,136.657395001907,0.9503,0.9748,0.195,9.9976,83.5436,2.9022,0.2318,3.1298"
"Zygaenoprocris_taftana,1.2,""autofeature=true"",2.5,150.604594702542,0.7906,0.71325,9.1216,23.0282,25.7265,0.8873,0.9122,40.3243"
