"Species","Regularization","Features","nParameters","AICc","Training.AUC","Test.AUC","bio13.contribution","bio14.contribution","bio5.contribution","bio6.contribution","bio7.contribution","topology.contribution"
"Coenonympha_saadi",1.2," -p",34.5,2904.62098281165,0.7727,0.7336,20.8836,24.007,4.7714,16.0965,16.1995,18.042
"Colias_alfacariensis",0.8," -h -q",5,975.145439075174,0.7107,0.70475,14.8158,10.6049,19.3898,0,52.8201,2.3693
"Colias_aurorina",0.7," -h -q",13,2006.33446119124,0.80265,0.796,3.1104,17.4447,49.5528,15.2162,12.9083,1.7676
"Colias_chlorocoma",0.6," -h -q",5,420.135187654919,0.75645,0.7567,3.4113,39.2432,35.3991,8.6817,0.6477,12.617
"Colias_croceus",1.5," -p -q",37,3196.69531774174,0.7953,0.74675,40.2639,19.4486,11.7759,4.6101,17.2249,6.6766
"Colias_erate",1.5," -q",20.5,1471.78108924474,0.83265,0.79725,8.8911,11.6772,15.3152,1.8902,58.9403,3.2861
"Colias_sagartia",1.4," -h",6,806.133912006602,0.7599,0.7165,5.8118,7.0474,23.2963,43.8623,0.129,19.8532
"Colias_thisoa",1," -h -q",5,592.84348923803,0.7593,0.723,18.1665,13.3575,44.4321,15.57,1.2427,7.2313
"Colotis_calais",1.2," -h -q",3,129.837549949859,0.86985,0.88675,55.9271,6.5426,2.5561,2.0314,30.0605,2.8822
"Colotis_etrida",1.4,"autofeature=true",3,140.480310777971,0.91515,0.87535,44.7577,6.3999,3.319,18.283,20.7652,6.4751
"Colotis_fausta",1.3," -h",7,1045.58724476733,0.71185,0.71035,30.3818,7.4896,1.5411,46.578,11.2371,2.7724
"Colotis_liagore",1.2," -h -q",2.5,213.915977703403,0.77985,0.7025,48.6368,3.9933,20.3997,2.5891,17.2987,7.0824
"Colotis_phisadia",1.1," -h",3,149.014023050094,0.9267,0.8434,9.6718,8.3399,29.775,0,51.2197,0.9936
"Colotis_protractus",1.4,"autofeature=true",3,201.141360863279,0.8085,0.72095,39.0728,10.1541,16.784,1.2698,24.2328,8.4865
"Colotis_vestalis",1.5," -h -q",3,322.790974302519,0.9016,0.81745,2.5099,1.8368,0.0169,29.7613,64.0714,1.8038
"Cupido_argiades",1,"autofeature=true",2,151.944979751276,0.91025,0.8626,6.1816,0.0805,0,50.8197,42.2132,0.7051
"Cupido_osiris",1.3," -h",5,424.910566783592,0.75005,0.75205,18.5102,24.1365,28.9547,0.9853,13.805,13.6084
"Cupido_staudingeri",0.9," -h",7,740.257379637511,0.8786,0.8484,39.0345,9.6311,36.0269,0.6337,5.6655,9.0083
"Cyaniris_semiargus",0.6," threshold=false -p -h",7,970.52178646967,0.8112,0.7134,15.195,34.4841,44.6495,1.5889,2.2937,1.7887
"Danaus_chrysippus",1," threshold=false -p -h",6,1173.7412323688,0.74625,0.70375,7.5085,1.2929,0.1943,84.0077,5.7684,1.2282
"Eogenes_alcides",1.5," -h -q",3,365.10511377649,0.66585,0.7147,8.67,2.6376,1.4111,51.5018,4.4677,31.3119
"Erebia_iranica",0.8," -h -q",3,163.13471382129,0.80725,0.73445,0.3014,1.4374,0.6495,51.9465,8.8616,36.8036
"Erebia_transcaucasica",0.9," -h",2,117.922704414926,0.8173,0.8481,9.1506,41.5656,16.8385,20.7198,1.7255,0
"Erynnis_marloyi",0.8," -h",7.5,795.678123352558,0.75625,0.711,17.7726,18.4665,1.5156,2e-04,22.4783,39.7668
"Erynnis_tages",1.2," -h -q",4,430.67937182139,0.7311,0.71055,30.7032,17.0646,1.4502,14.4652,26.5233,9.7934
"Esperarge_climene",1.5," threshold=false -p -h",8,1287.11255783875,0.78335,0.75445,15.2636,21.6976,14.9549,3.3117,7.9448,36.8274
"Esperarge_roxelana",0.6,"autofeature=true",3,149.766587347564,0.79865,0.7794,43.1124,9.1149,0.0011,28.9189,17.9127,0.94
"Euchloe_ausonia",1.4," -h -q",3,332.777961748777,0.64405,0.7133,8.4997,28.5171,37.5227,7.1084,0.2177,18.1344
"Euchloe_belemia",0.9," -h",6,637.611248095671,0.8158,0.75745,26.0718,0.8579,11.0178,54.6564,0.8647,6.5313
"Euchloe_daphalis",1.4," -p -q",30.5,1150.87419550387,0.74805,0.71535,8.584,15.8274,3.3079,26.9734,26.0693,19.238
"Euchloe_lessei",0.5," -h",8,477.442681474997,0.8665,0.86975,23.0029,26.0587,10.0621,0.1936,5.8802,34.8025
"Euchloe_transcaspica",1.5," -q",19,971.534824456573,0.75175,0.70725,4.099,12.2873,33.4184,29.3283,8.9615,11.9055
"Euphydryas_aurinia",0.9," -h",7,430.697670201968,0.87665,0.84985,27.0157,21.2238,19.4868,0.8299,12.8006,18.6432
"Fabriciana_adippe",0.9," -h -q",4,295.881298910851,0.72005,0.72065,2.3629,48.6408,7.0904,19.6998,17.5296,4.6767
"Fabriciana_niobe",1.4," -p -q",29.5,2071.15366169847,0.81655,0.7762,35.0293,28.5728,4.2256,8.3936,9.9725,13.8063
"Favonius_quercus",1.4," -h -q",5,655.406523954108,0.76285,0.7564,83.0158,3.176,0.9547,1.0729,9.5987,2.1819
"Gegenes_nostrodamus",1.4," -h",5,278.426130375663,0.82445,0.79695,29.9147,16.7567,0.6412,32.9831,6.1549,13.5494
"Glaucopsyche_alexis",1," -h",7,843.902781051454,0.7429,0.7364,8.0649,39.3406,0.7884,3.2277,44.37,4.2084
"Gonepteryx_farinosa",0.5," threshold=false -p -h",8,2204.59819626609,0.7577,0.71865,27.3694,12.8738,8.6252,0.5839,11.6569,38.8908
"Gonepteryx_rhamni",0.5," -h",7,770.042713620187,0.76515,0.73395,12.8465,3.9297,2.5716,3.8267,74.5199,2.3056
"Hesperia_comma",1.1," -h",5,278.965980195797,0.8939,0.91635,1.2654,9.0279,78.8753,0.7006,8.516,1.6147
"Hipparchia_fatua",0.8," -h",6.5,508.093632053375,0.7687,0.745,4.6712,54.6984,3.4319,3.7595,1.7618,31.6772
"Hipparchia_pellucida",1.4," -h",4,270.863512948406,0.79415,0.78645,21.4992,51.3289,5.8158,0,17.0212,4.3349
"Hipparchia_syriaca",0.7," -h -q",5,608.498211033195,0.82095,0.8393,62.3432,3.6793,0.0933,7.3685,24.0689,2.4467
"Hipparchia_turcmenica",1," -h",4.5,375.505450860593,0.77785,0.77725,7.1595,41.0293,0.0027,5.7991,42.8589,3.1504
"Hypermnestra_helios",0.9," -h",7,483.311693696086,0.71115,0.72425,5.4891,8.084,0.0541,53.0354,29.4234,3.914
"Hyponephele_amardaea",1.3," -h",6,758.125164018941,0.8291,0.7799,12.7568,14.59,41.5946,13.1014,0.9524,17.0048
"Hyponephele_cadusia",0.8," threshold=false -h -q",5,1400.95691499231,0.74955,0.70455,18.0094,27.4533,35.1435,1.9661,9.8072,7.6205
"Hyponephele_capella",1.4," -h",5,414.273815854579,0.9013,0.8264,34.3977,6.2033,7.118,5.497,2.5113,44.2727
"Hyponephele_comara",0.8," -h -q",4,474.303157694912,0.7829,0.72405,13.8727,11.1634,1.2722,1.5828,10.5808,61.5282
"Hyponephele_davendra",1.1," -h",6,663.372580674049,0.7924,0.85235,3.3716,31.0211,8.8424,0,1.1062,55.6587
"Hyponephele_dysdora",0.7," -h",7.5,759.434800058258,0.83345,0.76145,8.0782,33.3809,18.3797,0.1319,29.3764,10.6528
"Hyponephele_interposita",0.6," -h",6,464.927628526175,0.678,0.7086,2.0387,49.8326,1.5314,4.2862,31.1555,11.1556
"Hyponephele_lupina",0.6," -h",15,3744.36751463303,0.7202,0.70185,27.6881,16.7143,9.1559,10.248,5.0271,31.1666
"Hyponephele_lycaon",0.6," threshold=false -p -h",9,1730.12877637891,0.81615,0.7944,9.4875,36.3392,38.4673,9.4676,1.1335,5.105
"Hyponephele_lycaonoides",1," -h",7,851.402340486226,0.80655,0.7712,36.5488,17.1535,0.2237,38.4013,0.3923,7.2804
