Names;Design;Priority hotspots;Species richness;Species (min & max);Richness rank;Total coverage of PHs (km2);Protection rank;Potential conservation rank
Jasb;WR;2;26;21,30;4;9.83;2;4
Kamki;WR;0;12;10,16;3;154.17;2;3
Kanibarazan;WR;-1, 0;9;4,17;2;28.87;2;1
Kavedeh;WR;2, 4;0;0,0;5;1.03;4;4
Khark;WR;-2;0;0,0;1;3.39;1;1
Khoshyelagh;WR;2, 1;14;4,23;3;966.44;4;4
Kiamaki;WR;-2, 0;0;0,0;5;377.91;4;4
Kilahghazi;WR;0;17;17,17;2;0.06;1;2
Lavandvil;WR;0;5;5,5;1;10.74;1;1
Mehrouyeh;WR;0;16;16,16;1;55.86;1;1
Miandasht;WR;0;5;2,9;2;140.12;4;2
Miangaran;WR;3;39;39,39;2;24.77;1;2
Miankaleh;WR;0;5;4,5;1;352.05;2;2
Mouteh;WR;1, 2;23;15,32;4;1440.61;5;4
Namakzar;WR;-2;3;3,3;1;142.86;1;1
Naybandan;WR;-1, -2;3;0,10;3;12564.33;5;2
Rasband;WR;2;26;26,26;2;106.19;1;2
Robatshour;WR;-2;2;0,5;1;597.24;4;1
Rochoun;WR;2, 1;25;19,28;3;127.34;3;3
Sefidkouh;WR;0, 2, 1;25;14,44;4;713.9;2;4
Selkeh;WR;0;4;4,4;1;3.6;1;1
Semeskandeh;WR;0;12;12,12;1;10.41;1;1
Shadegan;WR;-2;0;0,1;1;2722.88;5;1
Shidvar;WR;-2;1;1,1;1;0.98;1;1
Shirahmad;WR;0;6;4,8;2;221.87;2;2
Shirkiuh;WR;2, 1;29;28,29;3;335.58;2;3
Sirkhankol;WR;0;4;4,4;1;12.1;1;1
sutav;WR;0;4;4,4;1;48.82;1;1
Touran;WR;0, -1, -2;3;0,9;5;7827.94;5;4
Yakhab;WR;-1, 0;10;4,16;4;1933.05;5;3
Zarivar;WR;0;7;7,7;1;25.08;1;1
Zaryab;WR;2;28;24,31;4;120.14;2;4
